,n_lags,quantiles,n_changepoints,n_forecasts,learning_rate,ar_layers,ar_reg,changepoints_range,trend_reg,seasonality_mode,rmse
0,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",0.0,0.05,0.0,multiplicative,1.3126258730888367
1,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",0.0,0.05,0.0,additive,1.0891662001609803
2,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",0.0,0.05,0.05,multiplicative,1.7898836970329284
3,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",0.0,0.05,0.05,additive,1.2166565656661987
4,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",0.0,0.05,0.1,multiplicative,1.5297476291656493
5,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",0.0,0.05,0.1,additive,1.0634477496147157
6,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",0.5,0.05,0.0,multiplicative,0.8051101326942444
7,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",0.5,0.05,0.0,additive,1.038882315158844
8,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",0.5,0.05,0.05,multiplicative,1.3057368755340577
9,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",0.5,0.05,0.05,additive,1.292378842830658
10,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",0.5,0.05,0.1,multiplicative,1.0904263496398925
11,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",0.5,0.05,0.1,additive,1.8133208513259889
12,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",1.0,0.05,0.0,multiplicative,1.4642998456954956
13,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",1.0,0.05,0.0,additive,1.2930848121643066
14,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",1.0,0.05,0.05,multiplicative,1.489958679676056
15,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",1.0,0.05,0.05,additive,1.0505016803741456
16,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",1.0,0.05,0.1,multiplicative,1.221455705165863
17,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32]",1.0,0.05,0.1,additive,1.119117534160614
18,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",0.0,0.05,0.0,multiplicative,1.2491093873977661
19,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",0.0,0.05,0.0,additive,1.0654963612556458
20,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",0.0,0.05,0.05,multiplicative,2.1095176219940184
21,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",0.0,0.05,0.05,additive,1.136335515975952
22,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",0.0,0.05,0.1,multiplicative,1.4226930856704711
23,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",0.0,0.05,0.1,additive,1.8155290603637695
24,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",0.5,0.05,0.0,multiplicative,1.4520004630088805
25,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",0.5,0.05,0.0,additive,1.0471121430397035
26,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",0.5,0.05,0.05,multiplicative,1.5965986609458924
27,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",0.5,0.05,0.05,additive,1.1824753522872924
28,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",0.5,0.05,0.1,multiplicative,1.1401087760925293
29,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",0.5,0.05,0.1,additive,1.0141475081443787
30,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",1.0,0.05,0.0,multiplicative,1.0519051790237426
31,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",1.0,0.05,0.0,additive,1.321643626689911
32,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",1.0,0.05,0.05,multiplicative,1.1597437739372254
33,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",1.0,0.05,0.05,additive,1.8705440640449524
34,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",1.0,0.05,0.1,multiplicative,2.9501683473587037
35,52,"[0.025, 0.975]",20,12,0.01,"[32, 32, 32, 32, 32]",1.0,0.05,0.1,additive,0.967131495475769
36,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.0,multiplicative,1.4544023036956788
37,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.0,additive,0.8992570281028748
38,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.05,multiplicative,1.7142795085906983
39,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.05,additive,1.1708857774734498
40,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.1,multiplicative,1.6523384690284728
41,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.1,additive,1.581469428539276
42,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.0,multiplicative,1.1900251030921936
43,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.0,additive,1.089301347732544
44,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.05,multiplicative,2.205752205848694
45,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.05,additive,1.5915025115013122
46,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.1,multiplicative,2.1456954717636108
47,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.1,additive,1.2915069580078125
48,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.0,multiplicative,1.3470693230628967
49,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.0,additive,1.0049472332000733
50,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.05,multiplicative,1.0120991826057435
51,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.05,additive,0.9008798599243164
52,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.1,multiplicative,1.8814439654350281
53,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.1,additive,1.5137413024902344
54,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",0.0,0.05,0.0,multiplicative,1.241339337825775
55,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",0.0,0.05,0.0,additive,0.987476134300232
56,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",0.0,0.05,0.05,multiplicative,1.1698673486709594
57,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",0.0,0.05,0.05,additive,1.0708852529525756
58,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",0.0,0.05,0.1,multiplicative,1.1479890823364258
59,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",0.0,0.05,0.1,additive,1.1733683943748474
60,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",0.5,0.05,0.0,multiplicative,1.5205710053443908
61,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",0.5,0.05,0.0,additive,1.1221752882003784
62,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",0.5,0.05,0.05,multiplicative,1.3210493803024292
63,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",0.5,0.05,0.05,additive,1.0429600596427917
64,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",0.5,0.05,0.1,multiplicative,1.071394693851471
65,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",0.5,0.05,0.1,additive,1.4488497018814086
66,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",1.0,0.05,0.0,multiplicative,1.5834162473678588
67,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",1.0,0.05,0.0,additive,1.0975388288497925
68,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",1.0,0.05,0.05,multiplicative,1.1174084067344665
69,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",1.0,0.05,0.05,additive,0.9666947245597839
70,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",1.0,0.05,0.1,multiplicative,1.3320235848426818
71,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",1.0,0.05,0.1,additive,1.1046618342399597
72,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32, 32, 32]",0.0,0.05,0.0,multiplicative,1.3262858152389527
73,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32, 32, 32]",0.0,0.05,0.0,additive,1.007240605354309
74,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32, 32, 32]",0.0,0.05,0.05,multiplicative,1.378041183948517
75,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32, 32, 32]",0.0,0.05,0.05,additive,1.7743156671524047
76,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32, 32, 32]",0.0,0.05,0.1,multiplicative,1.2695103406906127
77,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32, 32, 32]",0.0,0.05,0.1,additive,1.4517415165901184
78,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32, 32, 32]",0.5,0.05,0.0,multiplicative,1.7511953592300415
79,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32, 32, 32]",0.5,0.05,0.0,additive,1.075014054775238
80,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32, 32, 32]",0.5,0.05,0.05,multiplicative,1.2478245139122008
81,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32, 32, 32]",0.5,0.05,0.05,additive,0.9450214385986329
82,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32, 32, 32]",0.5,0.05,0.1,multiplicative,1.4327444672584533
83,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32, 32, 32]",0.5,0.05,0.1,additive,1.1230120062828064
84,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32, 32, 32]",1.0,0.05,0.0,multiplicative,1.4320812821388245
85,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32, 32, 32]",1.0,0.05,0.0,additive,1.1952103853225708
86,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32, 32, 32]",1.0,0.05,0.05,multiplicative,1.4827053904533387
87,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32, 32, 32]",1.0,0.05,0.05,additive,1.0480921268463135
88,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32, 32, 32]",1.0,0.05,0.1,multiplicative,1.1076240539550781
89,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32, 32, 32]",1.0,0.05,0.1,additive,1.1341471433639527
90,52,"[0.025, 0.975]",20,12,0.001,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.0,multiplicative,1.3500872135162354
91,52,"[0.025, 0.975]",20,12,0.001,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.0,additive,1.1861808061599732
92,52,"[0.025, 0.975]",20,12,0.001,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.05,multiplicative,1.098055899143219
93,52,"[0.025, 0.975]",20,12,0.001,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.05,additive,1.6042298197746276
94,52,"[0.025, 0.975]",20,12,0.001,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.1,multiplicative,2.1741127967834473
95,52,"[0.025, 0.975]",20,12,0.001,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.1,additive,1.0121222019195557
96,52,"[0.025, 0.975]",20,12,0.001,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.0,multiplicative,1.2939593315124511
97,52,"[0.025, 0.975]",20,12,0.001,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.0,additive,0.9491094470024108
98,52,"[0.025, 0.975]",20,12,0.001,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.05,multiplicative,1.9524627327919006
99,52,"[0.025, 0.975]",20,12,0.001,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.05,additive,1.1432533621788026
100,52,"[0.025, 0.975]",20,12,0.001,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.1,multiplicative,1.305023741722107
101,52,"[0.025, 0.975]",20,12,0.001,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.1,additive,1.1448560953140259
102,52,"[0.025, 0.975]",20,12,0.001,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.0,multiplicative,1.0652100920677186
103,52,"[0.025, 0.975]",20,12,0.001,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.0,additive,0.9500820279121399
104,52,"[0.025, 0.975]",20,12,0.001,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.05,multiplicative,1.130815029144287
105,52,"[0.025, 0.975]",20,12,0.001,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.05,additive,1.0589343309402466
106,52,"[0.025, 0.975]",20,12,0.001,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.1,multiplicative,1.093464732170105
107,52,"[0.025, 0.975]",20,12,0.001,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.1,additive,1.2654298067092895
108,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32]",0.0,0.05,0.0,multiplicative,1.3263017654418945
109,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32]",0.0,0.05,0.0,additive,1.1476560831069946
110,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32]",0.0,0.05,0.05,multiplicative,1.197258961200714
111,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32]",0.0,0.05,0.05,additive,1.1564723014831544
112,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32]",0.0,0.05,0.1,multiplicative,1.7201998949050903
113,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32]",0.0,0.05,0.1,additive,1.332717490196228
114,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32]",0.5,0.05,0.0,multiplicative,1.4294349431991578
115,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32]",0.5,0.05,0.0,additive,0.9425037860870361
116,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32]",0.5,0.05,0.05,multiplicative,1.2655136704444885
117,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32]",0.5,0.05,0.05,additive,1.0518931984901427
118,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32]",0.5,0.05,0.1,multiplicative,1.3626100420951843
119,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32]",0.5,0.05,0.1,additive,1.518734097480774
120,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32]",1.0,0.05,0.0,multiplicative,1.290402352809906
121,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32]",1.0,0.05,0.0,additive,1.153381383419037
122,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32]",1.0,0.05,0.05,multiplicative,1.0638145208358765
123,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32]",1.0,0.05,0.05,additive,1.1785843968391418
124,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32]",1.0,0.05,0.1,multiplicative,1.7119065999984742
125,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32]",1.0,0.05,0.1,additive,2.9388992547988892
126,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32, 32, 32]",0.0,0.05,0.0,multiplicative,1.072882103919983
127,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32, 32, 32]",0.0,0.05,0.0,additive,1.6236371874809266
128,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32, 32, 32]",0.0,0.05,0.05,multiplicative,2.3379516005516052
129,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32, 32, 32]",0.0,0.05,0.05,additive,1.3170175433158875
130,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32, 32, 32]",0.0,0.05,0.1,multiplicative,1.2819638133049012
131,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32, 32, 32]",0.0,0.05,0.1,additive,1.061029887199402
132,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32, 32, 32]",0.5,0.05,0.0,multiplicative,1.2792749762535096
133,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32, 32, 32]",0.5,0.05,0.0,additive,1.4287599325180054
134,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32, 32, 32]",0.5,0.05,0.05,multiplicative,1.52737797498703
135,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32, 32, 32]",0.5,0.05,0.05,additive,1.3348586797714233
136,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32, 32, 32]",0.5,0.05,0.1,multiplicative,1.307515513896942
137,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32, 32, 32]",0.5,0.05,0.1,additive,1.1786202430725097
138,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32, 32, 32]",1.0,0.05,0.0,multiplicative,1.3220181941986084
139,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32, 32, 32]",1.0,0.05,0.0,additive,1.4440950989723205
140,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32, 32, 32]",1.0,0.05,0.05,multiplicative,1.9282891035079956
141,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32, 32, 32]",1.0,0.05,0.05,additive,1.4254557490348816
142,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32, 32, 32]",1.0,0.05,0.1,multiplicative,1.4076801657676696
143,52,"[0.025, 0.975]",25,12,0.01,"[32, 32, 32, 32, 32]",1.0,0.05,0.1,additive,1.40770263671875
144,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.0,multiplicative,1.4063012957572938
145,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.0,additive,1.0535974144935607
146,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.05,multiplicative,1.2160763382911681
147,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.05,additive,1.4503855943679809
148,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.1,multiplicative,2.055172097682953
149,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.1,additive,0.970880103111267
150,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.0,multiplicative,1.3466640710830688
151,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.0,additive,1.202676284313202
152,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.05,multiplicative,2.090942370891571
153,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.05,additive,1.6335671663284301
154,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.1,multiplicative,1.7242943882942199
155,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.1,additive,1.3536710619926453
156,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.0,multiplicative,1.9108369827270508
157,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.0,additive,0.9458393812179565
158,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.05,multiplicative,1.444002389907837
159,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.05,additive,1.4407243371009826
160,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.1,multiplicative,2.0052032351493834
161,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.1,additive,1.4962992668151855
